source_injection_id,batch,post_jit_sampling_seconds,sample_call_seconds,total_seconds
0,source0-49,58.272586836945266,138.95255959173664,219.83442731993273
1,source0-49,51.9946318520233,73.57334999879822,83.67913685226813
2,source0-49,50.00675510196015,72.14585008705035,80.19615781726316
3,source0-49,53.242060052230954,74.95839215815067,85.34182617114857
4,source0-49,54.18541300389916,76.49611480301246,81.79180669877678
5,source0-49,55.142564026638865,77.18258404079825,88.52744626626372
6,source0-49,55.77046229690313,77.5412353859283,88.70134063018486
7,source0-49,58.34506497485563,80.00026441691443,90.15541421622038
8,source0-49,58.467737059574574,80.38418593769893,90.9672861979343
9,source0-49,81.06735164113343,102.76797319296747,111.75109795294702
10,source0-49,64.42588207125664,86.39023352460936,95.36308910278603
11,source0-49,52.200156815350056,73.9034937969409,79.47556674992666
12,source0-49,60.9043227401562,82.93606061022729,91.88694422179833
13,source0-49,59.50666381791234,81.325569530949,89.6319385310635
14,source0-49,56.00668174261227,78.18194213276729,89.21769586810842
15,source0-49,51.30035613384098,72.92532524000853,83.86399467568845
16,source0-49,60.139840349089354,82.1341598238796,93.32981557864696
17,source0-49,60.8507397887297,83.22812149161473,89.1856078542769
18,source0-49,42.16615320648998,64.6613176423125,74.24975594272837
19,source0-49,51.63697690423578,73.33687721285969,82.53526609390974
20,source0-49,49.87701011681929,72.15859442809597,82.11453057033941
21,source0-49,56.20064066071063,78.85535311186686,91.1494975448586
22,source0-49,57.91144727729261,81.08458201913163,93.32399272127077
23,source0-49,48.06315858615562,70.71675378317013,82.70764423767105
24,source0-49,55.318645532708615,77.54697124194354,88.9063849481754
25,source0-49,57.10814171982929,124.70518329693004,206.55878393072635
26,source0-49,72.16149530746043,94.6248641400598,105.43994972901419
27,source0-49,34.064162460621446,55.94689878216013,66.54252831498161
28,source0-49,48.56359714176506,69.98762574791908,75.28371884813532
29,source0-49,59.000224724411964,80.98792390385643,90.84632604429498
30,source0-49,51.845931102056056,73.22886386374012,84.10579657694325
31,source0-49,50.36337448656559,72.44902141904458,82.94595380639657
32,source0-49,49.12433865759522,71.33119571115822,82.2875991370529
33,source0-49,55.13795735081658,77.1812348458916,88.01402016403154
34,source0-49,51.039643487893045,73.08203394291922,83.87647185474634
35,source0-49,58.094040661118925,80.04129351302981,91.06754760583863
36,source0-49,62.9307598778978,84.97364686382934,96.18931477190927
37,source0-49,80.99015120370314,103.1306205522269,115.03316937806085
38,source0-49,50.82187632704154,72.36226390814409,83.70607974706218
39,source0-49,68.27227612538263,90.10809714021161,101.74713835120201
40,source0-49,59.30911999382079,81.2148139309138,92.75724416412413
41,source0-49,54.63825680082664,76.7480098688975,82.9152754470706
42,source0-49,51.04362317034975,72.5177760659717,84.40043184440583
43,source0-49,52.50225931406021,73.94564793212339,85.4482178403996
44,source0-49,48.01003796653822,69.85812176717445,81.26895372010767
45,source0-49,57.51157966023311,79.2304497170262,89.2294585830532
46,source0-49,55.08512855693698,77.09111248422414,89.20564959291369
47,source0-49,48.95670008799061,70.59137950511649,77.25052996724844
48,source0-49,62.21373280137777,83.79643956525251,94.07595134200528
49,source0-49,50.49111669510603,72.20964621286839,79.12315419642255
50,source50-74,63.525830037891865,148.13754368945956,243.68804783187807
51,source50-74,54.81097751669586,79.894577100873,107.01295642368495
52,source50-74,58.09999739378691,82.56100672110915,130.47151833958924
53,source50-74,58.756824146956205,82.90946051105857,106.47063211165369
54,source50-74,56.36818731948733,80.79622064344585,129.48396576195955
55,source50-74,52.09572074562311,75.54422207549214,124.41341310366988
56,source50-74,55.46049492619932,78.50720940344036,128.1578034888953
57,source50-74,58.99500017426908,82.13718159496784,133.52052096650004
58,source50-74,55.87291602417827,79.02199273929,130.75327206775546
59,source50-74,55.27005993016064,79.23849294893444,132.47273402102292
60,source50-74,51.06898948922753,75.41011679545045,102.98723450489342
61,source50-74,49.28051583841443,73.06062242761254,125.5115077290684
62,source50-74,61.56863512471318,85.04155393131077,140.21209785714746
63,source50-74,76.53999734483659,100.6294581964612,177.91140179522336
64,source50-74,53.80769931524992,77.23757771775126,134.06684392131865
65,source50-74,60.9599126521498,84.03854305669665,143.2669133003801
66,source50-74,48.769549103453755,71.67241959646344,131.20880575850606
67,source50-74,62.67266573943198,86.31664191372693,146.107928564772
68,source50-74,61.16508722305298,85.2478251978755,144.77931113168597
69,source50-74,54.00148983858526,78.33253572694957,139.56612553820014
70,source50-74,56.07592427544296,80.09423392638564,116.91664478369057
71,source50-74,53.840799348428845,77.9992118626833,115.16030194610357
72,source50-74,53.119762094691396,77.02238071709871,138.10570838488638
73,source50-74,57.62432137876749,82.14364195615053,145.19695913605392
74,source50-74,46.07413244433701,69.69320141151547,132.7273338623345
75,source75-99,62.225017469376326,146.43909450620413,239.28046807087958
76,source75-99,63.91286696866155,88.08059697970748,137.43250030651689
77,source75-99,64.03334479779005,87.86355653591454,134.8616793975234
78,source75-99,56.631945641711354,80.93308843299747,129.28618794679642
79,source75-99,54.792872408404946,78.94852871261537,130.3279605899006
80,source75-99,48.96443665586412,72.89657665789127,123.57470877468586
81,source75-99,48.70618873462081,72.11681957170367,124.47210381366313
82,source75-99,46.923446122556925,70.17955856584013,121.67951450310647
83,source75-99,61.686588576063514,85.49197255633771,139.09274564497173
84,source75-99,57.61167073622346,81.1973772291094,136.0349107608199
85,source75-99,52.86589814722538,76.77421091496944,130.77470087073743
86,source75-99,64.21393063478172,87.4237125236541,142.25881896913052
87,source75-99,58.002191968262196,82.54648932255805,137.19542201980948
88,source75-99,76.07792851142585,100.3118569497019,157.3579588122666
89,source75-99,65.21131057478487,100.00207632780075,159.85888264514506
90,source75-99,55.523743372410536,79.74810382910073,137.92818162404
91,source75-99,60.97262935899198,85.7150150090456,147.42360804788768
92,source75-99,80.28428401052952,103.32084758207202,166.0641734804958
93,source75-99,59.87245035730302,83.64423415996134,145.2562160678208
94,source75-99,58.11255670338869,82.62464858219028,119.43827837146819
