parameter,n_injections,mean_rank,cdf_at_50,cdf_at_90,ks_statistic,ks_pvalue
M_c,100,0.5106785729765003,0.48,0.85,0.05707222840796511,0.8818595794277045
q,100,0.4686614209061137,0.54,0.91,0.07964876809768989,0.5238520166080181
s1_mag,100,0.49343336035767943,0.49,0.88,0.08517453845163844,0.4384946576241697
s1_theta,100,0.48776684175905266,0.55,0.86,0.07294433459227606,0.6349521010257873
s1_phi,100,0.5315769021117549,0.45,0.86,0.06969576057689608,0.6897897585804367
s2_mag,100,0.5125561648851452,0.44,0.9,0.06305076643999558,0.7978123141410082
s2_theta,100,0.46581660606671094,0.52,0.93,0.0979454019462862,0.2743796602286306
s2_phi,100,0.5302418012898434,0.46,0.9,0.08287008726744116,0.4731944807475975
iota,100,0.4984411076996917,0.49,0.86,0.08133967343381926,0.4969715416412145
lambda_1,100,0.47133915450232605,0.57,0.92,0.10091685107249487,0.2434328834932964
lambda_2,100,0.5239508942093085,0.45,0.85,0.06252177110952056,0.8059017261501343
ra,100,0.5272007879515438,0.48,0.87,0.08647100144872655,0.4196007976434639
dec,100,0.5194551949657069,0.5,0.87,0.06630029303586948,0.7461706807426212
psi,100,0.5190519403699266,0.44,0.87,0.08373043278970133,0.4600784504352099
d_L,100,0.5246061645780894,0.42,0.9,0.10937994654215721,0.1695896161919469
