run,gpu,devices,sampler_seed,noise_seed,sweeps,bins,sampling_loop_seconds,finalise_seconds,loop_plus_finalise_seconds,sample_call_seconds,explicit_sampler_compile_seconds,measured_pipeline_seconds
adaptive128-chebyshev,H200,4,2,2,8,128,220.86516108270735,3.518496467731893,224.38365755043924,350.3896891800687,107.09162852354348,524.8445903658867
previous256-taylor,H100 SXM,4,2,2,8,256,481.5734529644251,14.080319002270699,495.6537719666958,668.6626774454489,150.35515372175723,914.1834904523566
previous1024-taylor,H100 SXM,4,2,2,8,1024,902.501799210906,2.6006343755871058,905.1024335864931,1335.0351307019591,400.05570729635656,
previous1024-taylor-scan,H100 SXM,4,2,2,8,1024,979.5883690938354,6.823595400899649,986.411964494735,1183.228288738057,168.49971456453204,
