run,parameter,truth,mean,sd,truth_cdf,truth_inside90,truth_inside95,truth_inside99,interval90,interval95,interval99
endpoint_skip,M_c,1.1802650981093186,1.1802642095416955,9.507571319796824e-07,0.8804203824791745,True,True,True,"[1.1802632464391007, 1.1802658990063926]","[1.1802631058708208, 1.1802665778207975]","[1.180262545455207, 1.180268188360884]"
endpoint_skip,q,0.9724191074091124,0.9705148271007336,0.01952062540758017,0.4952610056396635,True,True,True,"[0.9363648714450811, 0.9970681292402548]","[0.9276892359671509, 0.9985758718022949]","[0.9096086886649783, 0.999672844815863]"
endpoint_skip,s1_z,-0.014169601016451747,-0.016274054615321366,0.015287662306901725,0.5272590267279162,True,True,True,"[-0.042495579680374006, 0.007350145132428621]","[-0.04569143513193404, 0.009318651829330324]","[-0.048790229252431636, 0.011193796023838003]"
endpoint_skip,s2_z,-0.02350583516601907,-0.021246706503553908,0.015850766868309087,0.47396520699170547,True,True,True,"[-0.045586625454602236, 0.0060027563370716585]","[-0.04756060879157656, 0.009385029893494046]","[-0.04951069127607008, 0.012874734578652656]"
endpoint_skip,lambda_1,483.1557044220429,661.3073711882507,206.52108366521088,0.23828628002088212,True,True,True,"[314.19046578432085, 969.8449528831053]","[290.16649443630854, 985.281798533026]","[262.8379533841084, 996.8237182095598]"
endpoint_skip,lambda_2,771.0436351634714,555.920484478472,228.04173387761728,0.7857458095818438,True,True,True,"[219.4930539533359, 940.9309123808404]","[190.90235009032284, 970.4628727490856]","[139.63909978938622, 993.7057421367174]"
endpoint_skip,d_L,20.0,25.955582280863265,4.860459959103505,0.12760569238635225,True,True,True,"[18.382068490212845, 32.84550377951275]","[17.2870130482312, 33.18626183902524]","[15.184774936706091, 33.679907216700386]"
endpoint_skip,iota,2.016083447361016,2.444751670980328,0.32412285592746554,0.10439907607615168,True,True,True,"[1.9683615666968457, 2.957200301171531]","[1.9386791110142, 3.013443878235423]","[1.8700397196757217, 3.0869970746099864]"
endpoint_skip,ra,6.052874807646849,6.124454810885543,0.35677997116426924,0.08690405023778562,True,True,True,"[6.005791408209156, 6.217352492350955]","[5.934705379740237, 6.225689931557925]","[3.024723398821301, 6.245609536672829]"
endpoint_skip,dec,0.17257877754217157,0.3182959498477495,0.10440532864140419,0.05156974616339682,True,True,True,"[0.17029357678825555, 0.378996131040457]","[0.11177318080965544, 0.38637314906479076]","[-0.3429494458125392, 0.4040045321547365]"
endpoint_skip,psi,1.6782976747256861,1.6068803318544498,0.9339929700019902,0.49611964241496215,True,True,True,"[0.2094858924127152, 3.1426408260005925]","[0.15877492035095742, 3.1985769356066847]","[0.11812203996529647, 3.2402814420438695]"
endpoint_skip,t_c,0.03512602655783986,0.038395986611495084,0.002514363893968733,0.03902734588960143,False,True,True,"[0.03543045303550938, 0.03937374088264231]","[0.03465147629123705, 0.039630498903558325]","[0.03362593165440492, 0.05640669795041551]"
endpoint_skip,chi_eff,-0.018772442493793843,-0.018721390650347686,0.0002782716590826722,0.5537131369327597,True,True,True,"[-0.01897691695862546, -0.018205053630111056]","[-0.018991738413861904, -0.01801106906293095]","[-0.019022176823865977, -0.01750892945943126]"
endpoint_skip,lambda_tilde,621.0726400744164,610.8002824515481,5.415727796453777,0.9758580063026896,False,False,True,"[601.635177698466, 619.3442184446092]","[599.6364240054187, 620.9637808929497]","[594.9580027548268, 623.9202021571493]"
endpoint_skip,t_det,0.04691060112688943,0.04688718953342888,9.755848353146772e-06,0.9908980271115079,False,False,True,"[0.046871191503362164, 0.04690305270358036]","[0.046867723250371564, 0.04690631839893548]","[0.0468606723306317, 0.04691278053526693]"
endpoint_skip,M_hat,1.1802651963916335,1.1802644154219055,9.030592510993843e-07,0.872198179405565,True,True,True,"[1.1802635137578934, 1.1802659900359016]","[1.1802633646467706, 1.1802666258198704]","[1.1802623514478814, 1.1802681724829414]"
endpoint_skip,tidal_contrast,-143.94396537071427,52.69344335488949,217.05159832321135,0.22569932601963683,True,True,True,"[-313.39886324956143, 375.20285485916173]","[-340.42317390914457, 393.5097231350563]","[-363.5211185837471, 421.58622872413974]"
endpoint_skip,psi_phase_equivalent,1.6782976747256861,1.7390005269947055,0.3895820514170396,0.41200931385961215,True,True,True,"[1.018167413750529, 2.350184808755996]","[0.9546659675435976, 2.4051788158824365]","[0.9056418055152093, 2.452052606547669]"
deferred_skip,M_c,1.1802650981093186,1.1802642095416955,9.507571319796824e-07,0.8804203824791745,True,True,True,"[1.1802632464391007, 1.1802658990063926]","[1.1802631058708208, 1.1802665778207975]","[1.180262545455207, 1.180268188360884]"
deferred_skip,q,0.9724191074091124,0.9705148271007336,0.01952062540758017,0.4952610056396635,True,True,True,"[0.9363648714450811, 0.9970681292402548]","[0.9276892359671509, 0.9985758718022949]","[0.9096086886649783, 0.999672844815863]"
deferred_skip,s1_z,-0.014169601016451747,-0.016274054615321366,0.015287662306901725,0.5272590267279162,True,True,True,"[-0.042495579680374006, 0.007350145132428621]","[-0.04569143513193404, 0.009318651829330324]","[-0.048790229252431636, 0.011193796023838003]"
deferred_skip,s2_z,-0.02350583516601907,-0.021246706503553908,0.015850766868309087,0.47396520699170547,True,True,True,"[-0.045586625454602236, 0.0060027563370716585]","[-0.04756060879157656, 0.009385029893494046]","[-0.04951069127607008, 0.012874734578652656]"
deferred_skip,lambda_1,483.1557044220429,661.3073711882507,206.52108366521088,0.23828628002088212,True,True,True,"[314.19046578432085, 969.8449528831053]","[290.16649443630854, 985.281798533026]","[262.8379533841084, 996.8237182095598]"
deferred_skip,lambda_2,771.0436351634714,555.920484478472,228.04173387761728,0.7857458095818438,True,True,True,"[219.4930539533359, 940.9309123808404]","[190.90235009032284, 970.4628727490856]","[139.63909978938622, 993.7057421367174]"
deferred_skip,d_L,20.0,25.955582280863265,4.860459959103505,0.12760569238635225,True,True,True,"[18.382068490212845, 32.84550377951275]","[17.2870130482312, 33.18626183902524]","[15.184774936706091, 33.679907216700386]"
deferred_skip,iota,2.016083447361016,2.444751670980328,0.32412285592746554,0.10439907607615168,True,True,True,"[1.9683615666968457, 2.957200301171531]","[1.9386791110142, 3.013443878235423]","[1.8700397196757217, 3.0869970746099864]"
deferred_skip,ra,6.052874807646849,6.124454810885543,0.35677997116426924,0.08690405023778562,True,True,True,"[6.005791408209156, 6.217352492350955]","[5.934705379740237, 6.225689931557925]","[3.024723398821301, 6.245609536672829]"
deferred_skip,dec,0.17257877754217157,0.3182959498477495,0.10440532864140419,0.05156974616339682,True,True,True,"[0.17029357678825555, 0.378996131040457]","[0.11177318080965544, 0.38637314906479076]","[-0.3429494458125392, 0.4040045321547365]"
deferred_skip,psi,1.6782976747256861,1.6068803318544498,0.9339929700019902,0.49611964241496215,True,True,True,"[0.2094858924127152, 3.1426408260005925]","[0.15877492035095742, 3.1985769356066847]","[0.11812203996529647, 3.2402814420438695]"
deferred_skip,t_c,0.03512602655783986,0.038395986611495084,0.002514363893968733,0.03902734588960143,False,True,True,"[0.03543045303550938, 0.03937374088264231]","[0.03465147629123705, 0.039630498903558325]","[0.03362593165440492, 0.05640669795041551]"
deferred_skip,chi_eff,-0.018772442493793843,-0.018721390650347686,0.0002782716590826722,0.5537131369327597,True,True,True,"[-0.01897691695862546, -0.018205053630111056]","[-0.018991738413861904, -0.01801106906293095]","[-0.019022176823865977, -0.01750892945943126]"
deferred_skip,lambda_tilde,621.0726400744164,610.8002824515481,5.415727796453777,0.9758580063026896,False,False,True,"[601.635177698466, 619.3442184446092]","[599.6364240054187, 620.9637808929497]","[594.9580027548268, 623.9202021571493]"
deferred_skip,t_det,0.04691060112688943,0.04688718953342888,9.755848353146772e-06,0.9908980271115079,False,False,True,"[0.046871191503362164, 0.04690305270358036]","[0.046867723250371564, 0.04690631839893548]","[0.0468606723306317, 0.04691278053526693]"
deferred_skip,M_hat,1.1802651963916335,1.1802644154219055,9.030592510993843e-07,0.872198179405565,True,True,True,"[1.1802635137578934, 1.1802659900359016]","[1.1802633646467706, 1.1802666258198704]","[1.1802623514478814, 1.1802681724829414]"
deferred_skip,tidal_contrast,-143.94396537071427,52.69344335488949,217.05159832321135,0.22569932601963683,True,True,True,"[-313.39886324956143, 375.20285485916173]","[-340.42317390914457, 393.5097231350563]","[-363.5211185837471, 421.58622872413974]"
deferred_skip,psi_phase_equivalent,1.6782976747256861,1.7390005269947055,0.3895820514170396,0.41200931385961215,True,True,True,"[1.018167413750529, 2.350184808755996]","[0.9546659675435976, 2.4051788158824365]","[0.9056418055152093, 2.452052606547669]"
