run,gpu,devices,sampler_seed,noise_seed,sweeps,bins,sampling_loop_seconds,finalise_seconds,loop_plus_finalise_seconds,sample_call_seconds,explicit_sampler_compile_seconds,measured_pipeline_seconds
ce-eight-sweeps,H100 SXM,4,2,1,8,136,63.58022896759212,2.055243344977498,65.63547231256962,353.4297750964761,284.641682555899,
ce-eight-sweeps-endpoint,H100 SXM,4,2,1,8,136,66.6654990836978,2.053754046559334,68.71925313025713,122.2843610458076,47.875815995037556,
ce-six-sweeps-seed2,H100 SXM,4,2,1,6,136,54.145554470364004,1.9180589970201254,56.06361346738413,272.2578015550971,213.65393866226077,
ce-six-sweeps-seed3,H100 SXM,4,3,1,6,136,53.647910181898624,1.978537721093744,55.62644790299237,87.95421610586345,30.072236196137965,
