run,noise_seed,sampler_seed,M_c,q,s1_z,s2_z,lambda_1,lambda_2,d_L,iota,ra,dec,psi,phase_c,t_c
ce-eight-sweeps,1,2,1.1802650981093186,0.9724191074091124,-0.014169601016451747,-0.02350583516601907,483.1557044220429,771.0436351634714,20.0,2.016083447361016,6.052874807646849,0.17257877754217157,1.6782976747256861,2.7844901856551694,0.03512602655783986
ce-eight-sweeps-endpoint,1,2,1.1802650981093186,0.9724191074091124,-0.014169601016451747,-0.02350583516601907,483.1557044220429,771.0436351634714,20.0,2.016083447361016,6.052874807646849,0.17257877754217157,1.6782976747256861,2.7844901856551694,0.03512602655783986
ce-six-sweeps-seed2,1,2,1.1802650981093186,0.9724191074091124,-0.014169601016451747,-0.02350583516601907,483.1557044220429,771.0436351634714,20.0,2.016083447361016,6.052874807646849,0.17257877754217157,1.6782976747256861,2.7844901856551694,0.03512602655783986
ce-six-sweeps-seed3,1,3,1.1802650981093186,0.9724191074091124,-0.014169601016451747,-0.02350583516601907,483.1557044220429,771.0436351634714,20.0,2.016083447361016,6.052874807646849,0.17257877754217157,1.6782976747256861,2.7844901856551694,0.03512602655783986
